day,country_or_region,province_or_state,admin2,fips,confirmed,deaths,recovered,active,latitude,longitude,last_update,combined_key
2020-04-05,Ireland,,,,4994,158,25,4811,53.1424,-7.6921,2020-04-05 23:06:26,Ireland
2020-04-04,Ireland,,,,4604,137,25,4442,53.1424,-7.6921,2020-04-04 23:34:04,Ireland
2020-04-03,Ireland,,,,4273,120,5,4148,53.1424,-7.6921,2020-04-03 22:46:20,Ireland
2020-04-02,Ireland,,,,3849,98,5,3746,53.1424,-7.6921,2020-04-02 23:25:14,Ireland
2020-04-01,Ireland,,,,3447,85,5,3357,53.1424,-7.6921,2020-04-01 21:58:34,Ireland
2020-03-31,Ireland,,,,3235,71,5,3159,53.1424,-7.6921,2020-03-31 23:43:43,Ireland
2020-03-30,Ireland,,,,2910,54,5,2851,53.1424,-7.6921,2020-03-30 22:52:33,Ireland
2020-03-29,Ireland,,,,2615,46,5,2564,53.1424,-7.6921,2020-03-29 23:08:13,Ireland
2020-03-28,Ireland,,,,2415,36,5,2374,53.1424,-7.6921,2020-03-28 23:05:25,Ireland
2020-03-27,Ireland,,,,2121,22,5,2094,53.1424,-7.6921,2020-03-27 23:23:03,Ireland
2020-03-26,Ireland,,,,1819,19,5,1795,53.1424,-7.6921,2020-03-26 23:48:18,Ireland
2020-03-25,Ireland,,,,1564,9,5,1550,53.1424,-7.6921,2020-03-25 23:33:04,Ireland
2020-03-24,Ireland,,,,1329,7,5,1317,53.1424,-7.6921,2020-03-24 23:37:15,Ireland
2020-03-23,Ireland,,,,1125,6,5,1114,53.1424,-7.6921,2020-03-23 23:19:21,Ireland
2020-03-22,Ireland,,,,906,4,5,897,53.1424,-7.6921,3/22/20 23:45,Ireland
2020-03-21,Ireland,,,,785,3,5,,53.1424,-7.6921,2020-03-21T20:43:02,
2020-03-20,Ireland,,,,683,3,5,,53.1424,-7.6921,2020-03-20T20:13:16,
2020-03-19,Ireland,,,,557,3,5,,53.1424,-7.6921,2020-03-19T18:43:03,
2020-03-18,Ireland,,,,292,2,5,,53.1424,-7.6921,2020-03-18T03:13:12,
2020-03-17,Ireland,,,,223,2,5,,53.1424,-7.6921,2020-03-17T02:53:03,
2020-03-16,Ireland,,,,169,2,0,,53.1424,-7.6921,2020-03-16T14:38:45,
2020-03-15,Ireland,,,,129,2,0,,53.1424,-7.6921,2020-03-14T20:13:16,
2020-03-14,Ireland,,,,129,2,0,,53.1424,-7.6921,2020-03-14T20:13:16,
2020-03-13,Ireland,,,,90,1,0,,53.1424,-7.6921,2020-03-11T20:00:00,
2020-03-12,Ireland,,,,43,1,0,,53.1424,-7.6921,2020-03-11T21:33:03,
2020-03-11,Ireland,,,,43,1,0,,53.1424,-7.6921,2020-03-11T21:33:03,
2020-03-10,Ireland,,,,34,0,0,,53.1424,-7.6921,2020-03-10T19:13:21,
2020-03-09,Ireland,,,,21,0,0,,53.1424,-7.6921,2020-03-09T09:53:06,
2020-03-08,Ireland,,,,19,0,0,,53.4167,-8.0000,2020-03-08T21:03:03,
2020-03-07,Ireland,,,,18,0,0,,53.1424,-7.6921,2020-03-06T20:43:03,
2020-03-06,Ireland,,,,18,0,0,,53.1424,-7.6921,2020-03-06T20:43:03,
2020-03-05,Ireland,,,,6,0,0,,53.1424,-7.6921,2020-03-04T21:13:07,
2020-03-04,Ireland,,,,6,0,0,,53.1424,-7.6921,2020-03-04T21:13:07,
2020-03-03,Ireland,,,,2,0,0,,53.1424,-7.6921,2020-03-03T23:53:03,
2020-03-02,Ireland,,,,1,0,0,,53.1424,-7.6921,2020-03-01T07:13:07,
2020-03-01,Ireland,,,,1,0,0,,53.1424,-7.6921,2020-03-01T07:13:07,
2020-02-29,Ireland,,,,1,0,0,,,,2020-02-29T22:33:03,
