Hourly measurement data supplied by UK-air on 12/04/2020,,,,,
All Data GMT hour ending,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,
,,Cardiff Centre,,Cardiff Newport Road,
Date,Time,Nitrogen dioxide,Status,Nitrogen dioxide,Status
01/04/2016,01:00:00,32.35759,V ugm-3,No data,null
01/04/2016,02:00:00,36.07676,V ugm-3,No data,null
01/04/2016,03:00:00,38.73912,V ugm-3,No data,null
01/04/2016,04:00:00,37.48357,V ugm-3,No data,null
01/04/2016,05:00:00,40.93515,V ugm-3,No data,null
01/04/2016,06:00:00,51.03267,V ugm-3,No data,null
01/04/2016,07:00:00,42.3241,V ugm-3,No data,null
01/04/2016,08:00:00,41.14839,V ugm-3,No data,null
01/04/2016,09:00:00,31.78479,V ugm-3,No data,null
01/04/2016,10:00:00,23.02268,V ugm-3,No data,null
01/04/2016,11:00:00,22.97008,V ugm-3,No data,null
01/04/2016,12:00:00,23.40948,V ugm-3,No data,null
01/04/2016,13:00:00,21.0112,V ugm-3,No data,null
01/04/2016,14:00:00,17.38032,V ugm-3,No data,null
01/04/2016,15:00:00,20.12141,V ugm-3,No data,null
01/04/2016,16:00:00,23.63754,V ugm-3,No data,null
01/04/2016,17:00:00,24.36525,V ugm-3,No data,null
01/04/2016,18:00:00,28.05398,V ugm-3,No data,null
01/04/2016,19:00:00,20.86012,V ugm-3,No data,null
01/04/2016,20:00:00,19.57109,V ugm-3,No data,null
01/04/2016,21:00:00,17.00021,V ugm-3,No data,null
01/04/2016,22:00:00,17.78529,V ugm-3,No data,null
01/04/2016,23:00:00,11.85702,V ugm-3,No data,null
01/04/2016,24:00:00,8.27634,V ugm-3,No data,null
02/04/2016,01:00:00,7.1961,V ugm-3,No data,null
02/04/2016,02:00:00,10.11649,V ugm-3,No data,null
02/04/2016,03:00:00,7.75662,V ugm-3,No data,null
02/04/2016,04:00:00,8.71287,V ugm-3,No data,null
02/04/2016,05:00:00,7.58832,V ugm-3,No data,null
02/04/2016,06:00:00,11.2412,V ugm-3,No data,null
02/04/2016,07:00:00,11.07194,V ugm-3,No data,null
02/04/2016,08:00:00,14.33323,V ugm-3,No data,null
02/04/2016,09:00:00,19.67054,V ugm-3,No data,null
02/04/2016,10:00:00,24.27823,V ugm-3,No data,null
02/04/2016,11:00:00,18.4255,V ugm-3,No data,null
02/04/2016,12:00:00,13.98516,V ugm-3,No data,null
02/04/2016,13:00:00,12.80849,V ugm-3,No data,null
02/04/2016,14:00:00,14.21513,V ugm-3,No data,null
02/04/2016,15:00:00,16.2945,V ugm-3,No data,null
02/04/2016,16:00:00,13.76904,V ugm-3,No data,null
02/04/2016,17:00:00,17.98276,V ugm-3,No data,null
02/04/2016,18:00:00,23.103,V ugm-3,No data,null
02/04/2016,19:00:00,31.98895,V ugm-3,No data,null
02/04/2016,20:00:00,27.82927,V ugm-3,No data,null
02/04/2016,21:00:00,17.59739,V ugm-3,No data,null
02/04/2016,22:00:00,17.26031,V ugm-3,No data,null
02/04/2016,23:00:00,13.88714,V ugm-3,No data,null
02/04/2016,24:00:00,16.19027,V ugm-3,No data,null
03/04/2016,01:00:00,12.64609,V ugm-3,No data,null
03/04/2016,02:00:00,14.37626,V ugm-3,No data,null
03/04/2016,03:00:00,15.86371,V ugm-3,No data,null
03/04/2016,04:00:00,16.42981,V ugm-3,No data,null
03/04/2016,05:00:00,14.84626,V ugm-3,No data,null
03/04/2016,06:00:00,12.98588,V ugm-3,No data,null
03/04/2016,07:00:00,13.09537,V ugm-3,No data,null
03/04/2016,08:00:00,18.11329,V ugm-3,No data,null
03/04/2016,09:00:00,18.61628,V ugm-3,No data,null
03/04/2016,10:00:00,15.51707,V ugm-3,No data,null
03/04/2016,11:00:00,13.88236,V ugm-3,No data,null
03/04/2016,12:00:00,16.36431,V ugm-3,No data,null
03/04/2016,13:00:00,21.67006,V ugm-3,No data,null
03/04/2016,14:00:00,19.75613,V ugm-3,No data,null
03/04/2016,15:00:00,20.03439,V ugm-3,No data,null
03/04/2016,16:00:00,16.65023,V ugm-3,No data,null
03/04/2016,17:00:00,23.48311,V ugm-3,No data,null
03/04/2016,18:00:00,16.8802,V ugm-3,No data,null
03/04/2016,19:00:00,22.97917,V ugm-3,No data,null
03/04/2016,20:00:00,42.56603,V ugm-3,No data,null
03/04/2016,21:00:00,32.294,V ugm-3,No data,null
03/04/2016,22:00:00,19.70401,V ugm-3,No data,null
03/04/2016,23:00:00,16.76737,V ugm-3,No data,null
03/04/2016,24:00:00,15.80586,V ugm-3,No data,null
04/04/2016,01:00:00,20.95399,V ugm-3,No data,null
04/04/2016,02:00:00,11.95121,V ugm-3,No data,null
04/04/2016,03:00:00,14.46806,V ugm-3,No data,null
04/04/2016,04:00:00,12.76642,V ugm-3,No data,null
04/04/2016,05:00:00,12.08604,V ugm-3,No data,null
04/04/2016,06:00:00,24.67938,V ugm-3,No data,null
04/04/2016,07:00:00,38.35184,V ugm-3,No data,null
04/04/2016,08:00:00,40.26864,V ugm-3,No data,null
04/04/2016,09:00:00,29.26555,V ugm-3,No data,null
04/04/2016,10:00:00,19.56918,V ugm-3,No data,null
04/04/2016,11:00:00,19.05424,V ugm-3,No data,null
04/04/2016,12:00:00,13.95264,V ugm-3,No data,null
04/04/2016,13:00:00,27.17615,V ugm-3,No data,null
04/04/2016,14:00:00,21.78098,V ugm-3,No data,null
04/04/2016,15:00:00,15.82307,V ugm-3,No data,null
04/04/2016,16:00:00,20.76258,V ugm-3,No data,null
04/04/2016,17:00:00,24.22516,V ugm-3,No data,null
04/04/2016,18:00:00,29.33345,V ugm-3,No data,null
04/04/2016,19:00:00,27.63563,V ugm-3,No data,null
04/04/2016,20:00:00,45.1044,V ugm-3,No data,null
04/04/2016,21:00:00,42.2017,V ugm-3,No data,null
04/04/2016,22:00:00,32.4556,V ugm-3,No data,null
04/04/2016,23:00:00,35.51847,V ugm-3,No data,null
04/04/2016,24:00:00,27.23639,V ugm-3,No data,null
05/04/2016,01:00:00,26.08331,V ugm-3,No data,null
05/04/2016,02:00:00,32.16379,V ugm-3,No data,null
05/04/2016,03:00:00,25.42191,V ugm-3,No data,null
05/04/2016,04:00:00,28.10275,V ugm-3,No data,null
05/04/2016,05:00:00,31.82209,V ugm-3,No data,null
05/04/2016,06:00:00,32.78981,V ugm-3,No data,null
05/04/2016,07:00:00,45.03316,V ugm-3,No data,null
05/04/2016,08:00:00,61.06804,V ugm-3,No data,null
05/04/2016,09:00:00,39.50173,V ugm-3,No data,null
05/04/2016,10:00:00,23.03272,V ugm-3,No data,null
05/04/2016,11:00:00,19.09775,V ugm-3,No data,null
05/04/2016,12:00:00,20.46566,V ugm-3,No data,null
05/04/2016,13:00:00,16.41786,V ugm-3,No data,null
05/04/2016,14:00:00,18.29928,V ugm-3,No data,null
05/04/2016,15:00:00,15.56536,V ugm-3,No data,null
05/04/2016,16:00:00,17.33203,V ugm-3,No data,null
05/04/2016,17:00:00,15.68107,V ugm-3,No data,null
05/04/2016,18:00:00,21.72122,V ugm-3,No data,null
05/04/2016,19:00:00,14.88451,V ugm-3,No data,null
05/04/2016,20:00:00,17.1097,V ugm-3,No data,null
05/04/2016,21:00:00,21.33059,V ugm-3,No data,null
05/04/2016,22:00:00,22.35713,V ugm-3,No data,null
05/04/2016,23:00:00,15.56918,V ugm-3,No data,null
05/04/2016,24:00:00,12.83335,V ugm-3,No data,null
06/04/2016,01:00:00,7.33635,V ugm-3,No data,null
06/04/2016,02:00:00,13.98611,V ugm-3,No data,null
