"Daily Minimum data	   supplied by UK-air on 12/04/2020",,,,
All Data GMT hour ending,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,
,Cardiff Centre,,Cardiff Newport Road,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status
01/04/1994,4,V ugm-3,No data,null
02/04/1994,10,V ugm-3,No data,null
03/04/1994,8,V ugm-3,No data,null
04/04/1994,4,V ugm-3,No data,null
05/04/1994,2,V ugm-3,No data,null
06/04/1994,13,V ugm-3,No data,null
07/04/1994,10,V ugm-3,No data,null
08/04/1994,11,V ugm-3,No data,null
09/04/1994,8,V ugm-3,No data,null
10/04/1994,4,V ugm-3,No data,null
11/04/1994,32,V ugm-3,No data,null
12/04/1994,10,V ugm-3,No data,null
13/04/1994,4,V ugm-3,No data,null
14/04/1994,21,V ugm-3,No data,null
15/04/1994,8,V ugm-3,No data,null
16/04/1994,19,V ugm-3,No data,null
17/04/1994,23,V ugm-3,No data,null
18/04/1994,31,V ugm-3,No data,null
19/04/1994,19,V ugm-3,No data,null
20/04/1994,11,V ugm-3,No data,null
21/04/1994,10,V ugm-3,No data,null
22/04/1994,8,V ugm-3,No data,null
23/04/1994,6,V ugm-3,No data,null
24/04/1994,6,V ugm-3,No data,null
25/04/1994,11,V ugm-3,No data,null
26/04/1994,6,V ugm-3,No data,null
27/04/1994,17,V ugm-3,No data,null
28/04/1994,11,V ugm-3,No data,null
29/04/1994,10,V ugm-3,No data,null
30/04/1994,10,V ugm-3,No data,null
01/05/1994,8,V ugm-3,No data,null
02/05/1994,10,V ugm-3,No data,null
03/05/1994,13,V ugm-3,No data,null
04/05/1994,8,V ugm-3,No data,null
05/05/1994,6,V ugm-3,No data,null
06/05/1994,11,V ugm-3,No data,null
07/05/1994,17,V ugm-3,No data,null
08/05/1994,10,V ugm-3,No data,null
09/05/1994,13,V ugm-3,No data,null
10/05/1994,8,V ugm-3,No data,null
11/05/1994,19,V ugm-3,No data,null
12/05/1994,15,V ugm-3,No data,null
13/05/1994,31,V ugm-3,No data,null
14/05/1994,10,V ugm-3,No data,null
15/05/1994,6,V ugm-3,No data,null
16/05/1994,10,V ugm-3,No data,null
17/05/1994,2,V ugm-3,No data,null
18/05/1994,23,V ugm-3,No data,null
19/05/1994,17,V ugm-3,No data,null
20/05/1994,13,V ugm-3,No data,null
21/05/1994,27,V ugm-3,No data,null
22/05/1994,23,V ugm-3,No data,null
23/05/1994,13,V ugm-3,No data,null
24/05/1994,29,V ugm-3,No data,null
25/05/1994,25,V ugm-3,No data,null
26/05/1994,27,V ugm-3,No data,null
27/05/1994,25,V ugm-3,No data,null
28/05/1994,29,V ugm-3,No data,null
29/05/1994,11,V ugm-3,No data,null
30/05/1994,8,V ugm-3,No data,null
31/05/1994,23,V ugm-3,No data,null
01/06/1994,19,V ugm-3,No data,null
02/06/1994,11,V ugm-3,No data,null
03/06/1994,6,V ugm-3,No data,null
04/06/1994,10,V ugm-3,No data,null
05/06/1994,13,V ugm-3,No data,null
06/06/1994,4,V ugm-3,No data,null
07/06/1994,4,V ugm-3,No data,null
08/06/1994,19,V ugm-3,No data,null
09/06/1994,19,V ugm-3,No data,null
10/06/1994,10,V ugm-3,No data,null
11/06/1994,17,V ugm-3,No data,null
12/06/1994,11,V ugm-3,No data,null
13/06/1994,13,V ugm-3,No data,null
14/06/1994,17,V ugm-3,No data,null
15/06/1994,13,V ugm-3,No data,null
16/06/1994,13,V ugm-3,No data,null
17/06/1994,15,V ugm-3,No data,null
18/06/1994,6,V ugm-3,No data,null
19/06/1994,4,V ugm-3,No data,null
