Hourly measurement data supplied by UK-air on 12/04/2020
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,,"Cardiff Centre",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardiff Newport Road",,,,,,,,,,,,,
Date,Time,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2019-04-01,01:00:00,66.58986,V ugm-3,0.18047,V ugm-3,5.81632,V ugm-3,6.09304,V ugm-3,0.73637,V ugm-3,0.087,V mgm-3,13.8,V ugm-3 (TEOM FDMS),11.5,V ugm-3 (TEOM FDMS),2.3,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),77.2,N deg,5.8,N ms-1,4.8,N degC,1.86267,V ugm-3,12.33341,V ugm-3,15.18945,V ugm-3,No data,V ugm-3 (Ref.eq),78.5,N deg,7.6,N ms-1,6.9,N degC
2019-04-01,02:00:00,63.52978,V ugm-3,0.49629,V ugm-3,14.02662,V ugm-3,14.78759,V ugm-3,0.63117,V ugm-3,0.068215,V mgm-3,14.1,V ugm-3 (TEOM FDMS),11.2,V ugm-3 (TEOM FDMS),2.9,V ugm-3 (TEOM FDMS),4.1,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),74.6,N deg,5.6,N ms-1,4.3,N degC,1.2129,V ugm-3,12.04131,V ugm-3,13.90106,V ugm-3,No data,V ugm-3 (Ref.eq),74.8,N deg,7.3,N ms-1,6.4,N degC
2019-04-01,03:00:00,62.5652,V ugm-3,0.2707,V ugm-3,14.47521,V ugm-3,14.89028,V ugm-3,0.63117,V ugm-3,0.074147,V mgm-3,12.5,V ugm-3 (TEOM FDMS),9.7,V ugm-3 (TEOM FDMS),2.8,V ugm-3 (TEOM FDMS),3.5,V ugm-3 (TEOM FDMS),1.9,V ugm-3 (TEOM FDMS),1.6,V ugm-3 (TEOM FDMS),70,N deg,5.4,N ms-1,3.7,N degC,1.68939,V ugm-3,10.48002,V ugm-3,13.07039,V ugm-3,No data,V ugm-3 (Ref.eq),69.9,N deg,7.1,N ms-1,5.8,N degC
2019-04-01,04:00:00,62.66498,V ugm-3,0.33838,V ugm-3,10.93127,V ugm-3,11.45011,V ugm-3,0.63117,V ugm-3,0.065249,V mgm-3,11.6,V ugm-3 (TEOM FDMS),9.6,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),4.8,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),65.8,N deg,5,N ms-1,3.2,N degC,2.20921,V ugm-3,14.46359,V ugm-3,17.851,V ugm-3,No data,V ugm-3 (Ref.eq),65.5,N deg,6.7,N ms-1,5.3,N degC
2019-04-01,05:00:00,55.53035,V ugm-3,0.81211,V ugm-3,14.98005,V ugm-3,16.22527,V ugm-3,0.71007,V ugm-3,0.077113,V mgm-3,14.8,V ugm-3 (TEOM FDMS),11.6,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),4.7,V ugm-3 (TEOM FDMS),2.6,V ugm-3 (TEOM FDMS),2.1,V ugm-3 (TEOM FDMS),60.9,N deg,5.1,N ms-1,2.7,N degC,5.36058,V ugm-3,23.61738,V ugm-3,31.83682,V ugm-3,No data,V ugm-3 (Ref.eq),59.7,N deg,6.5,N ms-1,4.9,N degC
2019-04-01,06:00:00,48.14626,V ugm-3,2.40249,V ugm-3,20.96221,V ugm-3,24.64598,V ugm-3,0.78897,V ugm-3,0.088976,V mgm-3,16.1,V ugm-3 (TEOM FDMS),13.9,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),4.7,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),1.7,V ugm-3 (TEOM FDMS),61.5,N deg,5,N ms-1,2.5,N degC,13.90501,V ugm-3,39.1489,V ugm-3,60.46962,V ugm-3,No data,V ugm-3 (Ref.eq),59.4,N deg,6.3,N ms-1,4.7,N degC
2019-04-01,07:00:00,43.00734,V ugm-3,3.14693,V ugm-3,27.41994,V ugm-3,32.24516,V ugm-3,1.10455,V ugm-3,0.10084,V mgm-3,22.1,V ugm-3 (TEOM FDMS),19.9,V ugm-3 (TEOM FDMS),2.2,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),4.2,V ugm-3 (TEOM FDMS),0.8,V ugm-3 (TEOM FDMS),65.1,N deg,5.2,N ms-1,2.6,N degC,27.06279,V ugm-3,49.23415,V ugm-3,90.72986,V ugm-3,No data,V ugm-3 (Ref.eq),62.5,N deg,6.4,N ms-1,4.6,N degC
2019-04-01,08:00:00,39.41508,V ugm-3,5.3464,V ugm-3,30.77377,V ugm-3,38.97146,V ugm-3,1.18345,V ugm-3,0.127532,V mgm-3,22.9,V ugm-3 (TEOM FDMS),20.4,V ugm-3 (TEOM FDMS),2.5,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),4.6,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),67.4,N deg,5.1,N ms-1,3.4,N degC,41.03278,V ugm-3,56.14145,V ugm-3,119.05751,V ugm-3,No data,V ugm-3 (Ref.eq),64.8,N deg,5.8,N ms-1,4.6,N degC
2019-04-01,09:00:00,45.60175,V ugm-3,5.58326,V ugm-3,25.89215,V ugm-3,34.45303,V ugm-3,1.18345,V ugm-3,0.115669,V mgm-3,28.7,V ugm-3 (TEOM FDMS),24.4,V ugm-3 (TEOM FDMS),4.3,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),6.2,V ugm-3 (TEOM FDMS),0.9,V ugm-3 (TEOM FDMS),73.2,N deg,5.2,N ms-1,4.2,N degC,36.58188,V ugm-3,49.84483,V ugm-3,105.93626,V ugm-3,32.851,V ugm-3 (Ref.eq),68.7,N deg,5.5,N ms-1,4.7,N degC
